,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
1173,ssangyong,actyon,9982,2014,with mileage,99879,petrol,2000,white,mechanics,front-wheel drive,J
1174,hyundai,santa-fe,10100,2007,with mileage,235000,diesel,2200,blue,auto,part-time four-wheel drive,J
1182,subaru,forester,4490,2003,with mileage,252000,petrol,2500,purple,auto,part-time four-wheel drive,J
1183,jeep,grand-cherokee,7300,2003,with mileage,322000,diesel,2700,gray,auto,all-wheel drive,J
1186,lexus,rx,12000,2005,with mileage,267000,petrol,3000,black,auto,all-wheel drive,J
1187,toyota,rav4,11850,2009,with mileage,175500,petrol,2500,red,auto,all-wheel drive,J
1191,kia,sportage,15800,2015,with mileage,61000,petrol,2000,brown,mechanics,part-time four-wheel drive,J
1208,volvo,xc70,14500,2011,with mileage,187300,diesel,2400,green,auto,all-wheel drive,J
1210,renault,espace,5890,2004,with mileage,380000,diesel,2200,other,mechanics,front-wheel drive,J
1218,nissan,qashqai,14450,2015,with mileage,110,diesel,1500,black,mechanics,front-wheel drive,J
1232,volkswagen,tiguan,25500,2017,with mileage,54000,diesel,2000,silver,auto,all-wheel drive,J
1235,nissan,juke,9999,2012,with mileage,85000,petrol,1600,burgundy,auto,front-wheel drive,J
1236,hyundai,santa-fe,4900,2003,with mileage,325000,diesel,2000,brown,mechanics,front-wheel drive,J
1239,volvo,xc90,12900,2006,with mileage,290000,diesel,2400,gray,auto,all-wheel drive,J
1245,ford,escape,11250,2012,with mileage,187000,petrol,1600,gray,auto,all-wheel drive,J
1247,volvo,xc90,9300,2003,with mileage,300000,diesel,2400,black,auto,part-time four-wheel drive,J
1248,mitsubishi,pajero,29900,2015,with mileage,58720,petrol,3000,black,auto,part-time four-wheel drive,J
1250,hyundai,santa-fe,9750,2006,with mileage,386241.6,petrol,2700,other,auto,front-wheel drive,J
1257,volkswagen,tiguan,11500,2011,with mileage,112000,petrol,1400,black,mechanics,all-wheel drive,J
1265,ssangyong,kyron,7900,2011,with mileage,90000,diesel,2000,blue,auto,part-time four-wheel drive,J
1270,volkswagen,touareg,9800,2008,with mileage,309000,diesel,2500,silver,auto,all-wheel drive,J
1274,volkswagen,tiguan,13450,2012,with mileage,161200,diesel,2000,silver,auto,all-wheel drive,J
1282,honda,cr-v,18950,2014,with mileage,122000,petrol,2000,gray,auto,all-wheel drive,J
1284,volvo,xc90,17400,2010,with mileage,187000,diesel,2400,black,auto,all-wheel drive,J
1292,suzuki,sx4,11000,2011,with mileage,111000,petrol,1600,black,auto,front-wheel drive,J
1309,land-rover,discovery,11200,2008,with mileage,240000,diesel,2700,blue,auto,all-wheel drive,J
1315,bmw,x5,8600,2006,with mileage,210000,petrol,4400,black,auto,all-wheel drive,J
1324,nissan,qashqai,16300,2015,with mileage,130000,diesel,1600,silver,auto,front-wheel drive,J
1329,volkswagen,tiguan,11950,2011,with mileage,162000,diesel,2000,red,auto,all-wheel drive,J
1337,volvo,xc90,18300,2011,with mileage,164000,diesel,2400,white,auto,all-wheel drive,J
1340,jeep,grand-cherokee,10850,2005,with mileage,308000,diesel,3000,black,auto,all-wheel drive,J
1349,opel,antara,14700,2013,with mileage,153000,petrol,2400,black,auto,all-wheel drive,J
1354,lada-vaz,2131-niva,2150,2000,with mileage,300001,petrol,1666,other,mechanics,part-time four-wheel drive,J
1364,volkswagen,touareg,13500,2009,with mileage,259000,diesel,3000,white,auto,all-wheel drive,J
1374,bmw,x5,12000,2005,with mileage,220000,diesel,3000,black,auto,all-wheel drive,J
1376,mitsubishi,pajero,10000,2005,with mileage,420000,diesel,3200,black,auto,part-time four-wheel drive,J
1385,skoda,yeti,7500,2011,with mileage,150000,petrol,1200,gray,auto,front-wheel drive,J
1389,mercedes-benz,gl-klass,12150,2007,with mileage,322837,petrol,4700,gray,auto,all-wheel drive,J
1395,toyota,land-cruiser,14500,1998,with mileage,11111,diesel,4200,green,mechanics,part-time four-wheel drive,J
1400,volvo,xc90,14700,2009,with mileage,220000,diesel,2400,brown,auto,part-time four-wheel drive,J
1403,nissan,murano,6950,2007,with mileage,225000,petrol,3500,other,auto,all-wheel drive,J
1409,toyota,highlander,19480,2009,with mileage,56000,petrol,3500,silver,auto,all-wheel drive,J
1414,bmw,x5,40000,2014,with mileage,100000,diesel,3000,silver,auto,all-wheel drive,J
1430,renault,duster,12000,2017,with mileage,23000,petrol,2000,white,mechanics,part-time four-wheel drive,J
1432,nissan,patrol,9500,2002,with mileage,294000,diesel,3000,green,auto,part-time four-wheel drive,J
1457,mercedes-benz,m-klass,9550,2006,with mileage,202000,petrol,3500,white,auto,all-wheel drive,J
1458,hyundai,ix35,12700,2011,with mileage,128000,diesel,2000,brown,auto,all-wheel drive,J
1473,volkswagen,touareg,8500,2004,with mileage,330,diesel,2500,gray,mechanics,part-time four-wheel drive,J
1478,nissan,navara,10800,2007,with mileage,198000,diesel,2500,black,mechanics,part-time four-wheel drive,J
1480,hyundai,tucson,8600,2007,with mileage,192000,diesel,2000,silver,mechanics,part-time four-wheel drive,J
1481,renault,duster,6990,2013,with mileage,121000,petrol,1600,red,mechanics,front-wheel drive,J
1484,mitsubishi,asx,12500,2014,with mileage,125000,petrol,1800,blue,auto,front-wheel drive,J
1488,bmw,x6,30000,2013,with mileage,150000,diesel,3000,white,auto,part-time four-wheel drive,J
1494,honda,cr-v,21500,2012,with mileage,62764.26,petrol,2400,brown,auto,all-wheel drive,J
1495,kia,sportage,16500,2017,with mileage,80000,petrol,1600,brown,mechanics,front-wheel drive,J
1502,bmw,x5,12400,2005,with mileage,300000,diesel,3000,silver,auto,all-wheel drive,J
1504,bmw,x3,53260,2018,with mileage,3450,petrol,2000,blue,auto,all-wheel drive,J
1511,opel,mokka,10300,2014,with mileage,72000,petrol,1800,white,mechanics,front-wheel drive,J
1524,subaru,forester,4250,2002,with mileage,300000,petrol,2500,silver,mechanics,all-wheel drive,J
1534,luaz,967,2000,1983,with mileage,60000,petrol,1000,green,mechanics,part-time four-wheel drive,J
1535,kia,sportage,24900,2017,with mileage,73000,petrol,1600,other,auto,all-wheel drive,J
1539,land-rover,range-rover,8999,2003,with mileage,380000,diesel,3000,silver,auto,all-wheel drive,J
1550,bmw,x5,9500,2004,with mileage,230000,petrol,3000,black,auto,all-wheel drive,J
1551,land-rover,discovery,9450,2004,with mileage,304000,diesel,2700,blue,auto,all-wheel drive,J
1558,cadillac,escalade,11000,2003,with mileage,220000,petrol,6000,white,auto,all-wheel drive,J
1567,mazda,cx-7,9100,2007,with mileage,116209,petrol,2300,other,auto,all-wheel drive,J
1570,mercedes-benz,m-klass,7500,2003,with mileage,420,diesel,2700,silver,mechanics,all-wheel drive,J
1571,renault,espace,4500,2003,with mileage,290000,diesel,2200,silver,mechanics,front-wheel drive,J
1592,jeep,grand-cherokee,8999,2005,with mileage,204905,petrol,3700,black,auto,all-wheel drive,J
1599,luaz,969,1000,1990,with damage,99999,diesel,1600,green,mechanics,part-time four-wheel drive,J
1600,kia,sportage,2500,1996,with mileage,331000,petrol,2000,silver,mechanics,part-time four-wheel drive,J
1608,mercedes-benz,m-klass,47000,2013,with mileage,110000,diesel,3000,white,auto,,J
1625,hyundai,tucson,17300,2016,with mileage,60350.25,petrol,1600,burgundy,auto,part-time four-wheel drive,J
1637,honda,cr-v,11000,2008,with mileage,160000,petrol,2400,blue,auto,front-wheel drive,J
1643,hyundai,tucson,6300,2004,with mileage,334000,diesel,2000,black,mechanics,front-wheel drive,J
1648,volkswagen,touareg,35651,2016,with mileage,80000,diesel,3000,gray,auto,all-wheel drive,J
1649,kia,sorento,13900,2011,with mileage,116000,petrol,2400,blue,auto,part-time four-wheel drive,J
1651,bmw,x6,18200,2008,with mileage,155000,diesel,3000,black,auto,all-wheel drive,J
1652,nissan,patrol,5800,2001,with mileage,170000,diesel,3000,white,mechanics,all-wheel drive,J
1658,hyundai,santa-fe,18600,2013,with mileage,76170.0622,petrol,2000,other,auto,front-wheel drive,J
1661,bmw,x6,19499,2009,with mileage,225000,diesel,3500,black,auto,part-time four-wheel drive,J
1668,bmw,x3,11299,2007,with mileage,230000,petrol,3000,white,auto,all-wheel drive,J
1671,porsche,cayenne,59990,2016,with mileage,43800,diesel,3000,purple,auto,all-wheel drive,J
1676,mazda,cx-5,17500,2014,with mileage,100430,petrol,2000,gray,auto,all-wheel drive,J
1682,nissan,patrol,13500,2003,with mileage,360000,diesel,3000,gray,mechanics,part-time four-wheel drive,J
1690,volkswagen,tiguan,9300,2010,with mileage,150000,petrol,1400,silver,mechanics,,J
1701,opel,mokka,12950,2013,with mileage,110100,petrol,1400,gray,mechanics,part-time four-wheel drive,J
1703,lexus,rx,14200,2008,with mileage,206000,petrol,3500,other,auto,front-wheel drive,J
1706,ford,explorer,18000,2011,with mileage,180000,petrol,2000,brown,auto,all-wheel drive,J
1707,toyota,rav4,23000,2016,with mileage,50000,petrol,1987,blue,auto,,J
1714,ford,kuga,11000,2011,with mileage,275000,diesel,2000,blue,mechanics,all-wheel drive,J
1715,jeep,grand-cherokee,11000,2005,with mileage,255000,diesel,3000,black,auto,all-wheel drive,J
