,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
11997,volkswagen,jetta,9550,2013,with mileage,109000,petrol,1400,black,mechanics,front-wheel drive,C
11998,peugeot,5008,9750,2011,with mileage,250000,diesel,1600,gray,mechanics,front-wheel drive,C
11999,opel,astra,1900,1999,with mileage,231000,petrol,2000,silver,mechanics,front-wheel drive,C
12002,hyundai,lantra,1250,1996,with mileage,302000,petrol,1600,burgundy,mechanics,front-wheel drive,C
12013,renault,megane,7199,2010,with mileage,215000,diesel,1500,silver,mechanics,front-wheel drive,C
12035,peugeot,306,1950,1999,with mileage,500000,diesel,1900,blue,mechanics,front-wheel drive,C
12036,volkswagen,jetta,9499,2013,with mileage,85000,petrol,1400,white,auto,front-wheel drive,C
12041,volvo,s40,7100,2005,with mileage,208000,petrol,2400,gray,auto,front-wheel drive,C
12047,mazda,626,2100,1998,with mileage,380000,petrol,2000,gray,auto,front-wheel drive,C
12053,opel,astra,3750,2003,with mileage,348000,diesel,1700,blue,mechanics,front-wheel drive,C
12056,mitsubishi,lancer,5200,2004,with mileage,245750,petrol,2000,silver,mechanics,front-wheel drive,C
12064,skoda,octavia,9300,2015,with mileage,131400,petrol,1600,white,mechanics,front-wheel drive,C
12065,skoda,octavia,18450,2018,with mileage,21000,petrol,1400,black,auto,front-wheel drive,C
12067,mazda,3,4500,2005,with mileage,263000,diesel,1600,gray,mechanics,front-wheel drive,C
12069,toyota,corolla,1050,1993,with mileage,380000,petrol,1300,black,mechanics,,C
12072,nissan,almera,430,1997,with mileage,232323,diesel,2000,green,mechanics,front-wheel drive,C
12085,volkswagen,golf,7000,2009,with mileage,160000,petrol,1600,red,auto,front-wheel drive,C
12088,mazda,323,2700,1998,with mileage,235,petrol,1500,blue,mechanics,front-wheel drive,C
12090,volkswagen,golf,6700,2008,with mileage,163630,petrol,1400,black,mechanics,front-wheel drive,C
12094,citroen,c4-grand-picasso,12900,2015,with mileage,165000,petrol,1200,black,mechanics,front-wheel drive,C
12097,citroen,xsara,1450,1998,with mileage,359000,petrol,1400,silver,mechanics,front-wheel drive,C
12106,lancia,delta,7600,2009,with mileage,215000,diesel,1600,black,auto,front-wheel drive,C
12109,ford,focus,8800,2014,with mileage,84000,petrol,1600,silver,mechanics,front-wheel drive,C
12110,volkswagen,golf,1399,1993,with mileage,270000,petrol,1600,gray,mechanics,front-wheel drive,C
12112,hyundai,elantra,3400,2002,with mileage,345000,petrol,1600,silver,mechanics,front-wheel drive,C
12113,volvo,v40,4000,2001,with mileage,330000,petrol,1800,black,mechanics,front-wheel drive,C
12129,renault,fluence,8000,2011,with mileage,242000,petrol,1600,black,mechanics,front-wheel drive,C
12131,lada-vaz,2112,800,2002,with mileage,135,petrol,1500,gray,mechanics,front-wheel drive,C
12132,skoda,octavia,16100,2015,with mileage,210000,diesel,2000,brown,auto,front-wheel drive,C
12133,ford,focus,1690,2001,with mileage,350000,petrol,2000,silver,auto,front-wheel drive,C
12134,bmw,1-seriya,15700,2011,with mileage,106000,diesel,2000,black,auto,rear drive,C
12139,mazda,3,5514,2007,with mileage,207000,petrol,1600,blue,auto,front-wheel drive,C
12143,mitsubishi,lancer,7399,2010,with mileage,104790,petrol,1500,burgundy,mechanics,front-wheel drive,C
12158,opel,astra,5500,2010,with mileage,210000,petrol,1400,gray,mechanics,front-wheel drive,C
12159,opel,astra,2400,1998,with mileage,280000,petrol,1800,silver,mechanics,front-wheel drive,C
12165,renault,19,300,1991,with mileage,290000,petrol,1700,black,mechanics,front-wheel drive,C
12166,skoda,octavia,4950,2004,with mileage,320000,diesel,1900,silver,auto,,C
12167,peugeot,308,5550,2008,with mileage,181000,petrol,1600,black,auto,front-wheel drive,C
12176,chevrolet,cruze,8500,2013,with mileage,113000,petrol,1800,white,auto,front-wheel drive,C
12190,daewoo,nubira,2100,2000,with mileage,263000,petrol,1600,green,mechanics,front-wheel drive,C
12192,peugeot,306,1500,1995,with mileage,250000,petrol,1600,green,mechanics,front-wheel drive,C
12195,mercedes-benz,cla-amg,30990,2015,with mileage,152000,petrol,2000,silver,auto,all-wheel drive,C
12201,skoda,rapid,7800,2015,with mileage,98200,petrol,1600,white,auto,front-wheel drive,C
12204,peugeot,308,6000,2010,with mileage,167970,petrol,1600,white,mechanics,front-wheel drive,C
12210,ford,focus,3000,2004,with mileage,241000,petrol,1600,blue,mechanics,front-wheel drive,C
12216,volkswagen,golf,225,1985,with mileage,33333,petrol,1800,silver,auto,front-wheel drive,C
12219,mazda,626,1300,1997,with mileage,337121,petrol,2000,other,mechanics,front-wheel drive,C
12221,renault,megane,1150,1998,with mileage,376120,diesel,1900,red,mechanics,front-wheel drive,C
12227,opel,astra,6200,2011,with mileage,181000,petrol,1600,gray,auto,front-wheel drive,C
12232,ford,focus,2150,2003,with mileage,304400,petrol,2000,black,mechanics,front-wheel drive,C
12237,volkswagen,golf,3900,1999,with mileage,250000,petrol,1400,blue,mechanics,front-wheel drive,C
12244,bmw,1-seriya,10000,2010,with mileage,63000,petrol,1600,black,auto,rear drive,C
12249,mazda,3,6500,2007,with mileage,198000,petrol,1600,black,auto,front-wheel drive,C
12250,ford,focus,3250,2007,with mileage,167000,petrol,2000,burgundy,auto,front-wheel drive,C
12254,mazda,3,7130,2009,with mileage,248643.03,petrol,2000,gray,auto,front-wheel drive,C
12262,suzuki,baleno,1600,2000,with mileage,157000,petrol,1300,silver,mechanics,front-wheel drive,C
12263,peugeot,308,6400,2010,with mileage,180000,petrol,1600,gray,mechanics,front-wheel drive,C
12267,volvo,v40,2377,1999,with mileage,300,petrol,2000,silver,mechanics,front-wheel drive,C
12269,skoda,octavia,8700,2011,with mileage,200000,petrol,1200,black,mechanics,front-wheel drive,C
12273,opel,astra,2800,1999,with mileage,205000,petrol,1600,silver,mechanics,front-wheel drive,C
12274,mazda,3,9510,2013,with mileage,130000,petrol,2000,gray,auto,front-wheel drive,C
12280,opel,astra,8999,2012,with mileage,109000,petrol,1600,other,auto,front-wheel drive,C
12283,honda,civic,13800,2013,with mileage,47471,petrol,1800,white,auto,front-wheel drive,C
12285,volkswagen,golf,4200,1999,with mileage,260000,petrol,1800,black,mechanics,front-wheel drive,C
12291,mazda,626,2100,1999,with mileage,300000,diesel,2000,green,mechanics,,C
12294,honda,civic,14790,2016,with mileage,46000,petrol,1500,black,auto,front-wheel drive,C
12309,skoda,octavia,7350,2010,with mileage,149000,petrol,1400,green,mechanics,front-wheel drive,C
12311,volkswagen,golf,7000,2008,with mileage,163700,petrol,1400,silver,auto,front-wheel drive,C
12313,fiat,marea,550,1996,with mileage,350000,petrol,1600,silver,mechanics,front-wheel drive,C
12315,kia,ceed,10200,2013,with mileage,154400,petrol,1600,silver,auto,front-wheel drive,C
12317,opel,astra,350,1992,with mileage,360000,petrol,1600,white,mechanics,front-wheel drive,C
12318,citroen,xsara,2390,2001,with mileage,229000,petrol,1400,silver,mechanics,front-wheel drive,C
12327,volkswagen,golf,970,1991,with mileage,200000,petrol,1300,blue,mechanics,front-wheel drive,C
12337,mazda,323,600,1992,with mileage,445000,diesel,1700,green,mechanics,front-wheel drive,C
12359,skoda,rapid,10300,2016,with mileage,46000,petrol,1600,gray,mechanics,front-wheel drive,C
12362,toyota,auris,12000,2015,with mileage,124000,diesel,1400,white,mechanics,front-wheel drive,C
12364,hyundai,i30,6666,2009,with mileage,114000,petrol,1400,black,mechanics,front-wheel drive,C
12365,mazda,626,2000,2001,with mileage,238000,diesel,2000,silver,mechanics,front-wheel drive,C
12374,opel,astra,6700,2012,with mileage,144000,petrol,1800,gray,mechanics,front-wheel drive,C
12377,mazda,3,5800,2006,with mileage,203000,petrol,1600,red,auto,front-wheel drive,C
12386,skoda,octavia,11500,2013,with mileage,104000,petrol,1400,white,auto,,C
12387,citroen,xsara,2100,1997,with mileage,309000,petrol,1800,silver,mechanics,front-wheel drive,C
12392,skoda,octavia,12000,2014,with mileage,125246,diesel,1600,black,mechanics,front-wheel drive,C
12393,hyundai,i30,5300,2009,with mileage,188000,petrol,1400,black,mechanics,front-wheel drive,C
12396,nissan,almera,3200,2004,with mileage,280000,petrol,1800,black,auto,front-wheel drive,C
12397,daewoo,nubira,1400,1997,with mileage,262000,petrol,1600,silver,mechanics,front-wheel drive,C
12398,volkswagen,golf,3200,2000,with mileage,2800000,petrol,2000,white,mechanics,front-wheel drive,C
12402,citroen,xsara,1750,1998,with mileage,300000,petrol,1400,burgundy,mechanics,front-wheel drive,C
12411,hyundai,lantra,1400,1996,with mileage,6666,petrol,500,blue,mechanics,,C
12428,peugeot,3008,9400,2011,with mileage,112000,petrol,1600,white,mechanics,front-wheel drive,C
12433,opel,astra,850,1997,with mileage,366000,diesel,1700,white,mechanics,front-wheel drive,C
12434,citroen,c4,6500,2010,with mileage,115000,petrol,1600,silver,auto,,C
12435,opel,astra,4300,2006,with mileage,24000,diesel,1300,silver,mechanics,front-wheel drive,C
12444,fiat,bravo,1200,1999,with mileage,32000,petrol,1200,other,mechanics,front-wheel drive,C
12456,ford,focus,2400,2003,with mileage,430000,diesel,1800,silver,mechanics,front-wheel drive,C
12457,seat,toledo,4800,2000,with mileage,360000,diesel,1900,burgundy,mechanics,front-wheel drive,C
12458,volkswagen,golf,8900,2008,with mileage,45580,petrol,1600,silver,auto,front-wheel drive,C
12460,nissan,bluebird,800,1986,with mileage,415000,petrol,2000,blue,mechanics,front-wheel drive,C
12463,skoda,rapid,12835,2019,with mileage,40000,petrol,1600,blue,mechanics,front-wheel drive,C
12469,opel,astra,2300,1998,with mileage,400000,diesel,1700,blue,mechanics,,C
12471,fiat,marea,600,1997,with mileage,250,petrol,1600,gray,mechanics,front-wheel drive,C
12472,volkswagen,golf,1600,1987,with mileage,285000,petrol,1300,red,mechanics,front-wheel drive,C
12476,opel,astra,2600,1999,with mileage,350000,diesel,1700,white,mechanics,front-wheel drive,C
12478,citroen,xsara-picasso,3150,2001,with mileage,370,diesel,2000,white,mechanics,front-wheel drive,C
12488,honda,civic,14250,2015,with mileage,53000,petrol,1500,white,auto,front-wheel drive,C
12491,citroen,xsara,1800,1998,with mileage,384000,diesel,1900,red,mechanics,front-wheel drive,C
12493,kia,ceed,6100,2008,with mileage,150000,diesel,1600,silver,mechanics,front-wheel drive,C
12494,peugeot,306,1550,1998,with mileage,200000,petrol,2000,burgundy,mechanics,front-wheel drive,C
12497,citroen,c4-grand-picasso,15000,2014,with mileage,109000,diesel,1600,black,mechanics,front-wheel drive,C
12498,honda,civic,6550,2009,with mileage,200000,petrol,1300,brown,auto,front-wheel drive,C
12504,volkswagen,jetta,951,1988,with mileage,200000,petrol,1600,red,mechanics,front-wheel drive,C
12505,audi,a3,6700,2004,with mileage,258000,diesel,2000,silver,mechanics,front-wheel drive,C
12507,opel,astra,3600,2000,with mileage,320000,diesel,1700,silver,mechanics,front-wheel drive,C
12521,volkswagen,jetta,750,1991,with mileage,300000,petrol,1800,red,mechanics,front-wheel drive,C
12527,honda,civic,6200,2009,with mileage,150000,petrol,1339,black,auto,front-wheel drive,C
12534,fiat,brava,1800,1999,with mileage,300000,petrol,1200,other,mechanics,,C
12536,fiat,brava,1000,1996,with damage,28000,diesel,1900,other,mechanics,front-wheel drive,C
12539,mitsubishi,lancer,6700,2009,with mileage,225000,petrol,1500,gray,mechanics,front-wheel drive,C
12540,volvo,v40,3500,2001,with mileage,460000,diesel,1900,black,mechanics,front-wheel drive,C
12545,honda,civic,5200,2007,with mileage,240000,petrol,1800,black,mechanics,front-wheel drive,C
12546,citroen,xsara-picasso,4500,2003,with mileage,317845,petrol,1800,blue,mechanics,front-wheel drive,C
12550,ford,escort,1000,1998,with mileage,320000,petrol,1400,purple,mechanics,front-wheel drive,C
12552,toyota,corolla,12350,2013,with mileage,105000,petrol,1600,silver,auto,front-wheel drive,C
12555,toyota,corolla,1600,1992,with mileage,403000,petrol,1300,red,mechanics,front-wheel drive,C
12557,volkswagen,jetta,10500,2015,with mileage,101388.42,petrol,1400,black,auto,front-wheel drive,C
12559,seat,leon,13000,2014,with mileage,173823,diesel,1600,other,mechanics,front-wheel drive,C
12565,mazda,626,1999,1998,with mileage,463000,diesel,2000,purple,mechanics,front-wheel drive,C
12581,volkswagen,golf,1000,1996,with mileage,83000,petrol,1600,white,mechanics,front-wheel drive,C
12585,ford,escort,1500,1998,with mileage,142000,diesel,1800,gray,mechanics,front-wheel drive,C
12588,kia,ceed,8081,2014,with mileage,141000,petrol,1400,other,mechanics,,C
12589,citroen,c4-grand-picasso,8150,2008,with mileage,309000,diesel,1600,black,auto,front-wheel drive,C
12598,volkswagen,golf,1400,1989,with mileage,303000,diesel,1600,red,mechanics,front-wheel drive,C
12602,ford,focus,8100,2015,with mileage,59000,petrol,1600,yellow,mechanics,front-wheel drive,C
12612,mazda,323f,1600,1997,with mileage,10000,petrol,1600,green,mechanics,front-wheel drive,C
12617,skoda,octavia,8450,2012,with mileage,175000,petrol,1800,green,mechanics,front-wheel drive,C
12621,volkswagen,jetta,4900,2006,with mileage,230000,petrol,2500,gray,auto,front-wheel drive,C
12623,opel,astra,380,1993,with mileage,382000,petrol,1600,blue,mechanics,front-wheel drive,C
12629,lancia,delta,7500,2008,with mileage,182000,petrol,1400,white,mechanics,front-wheel drive,C
12653,ford,focus,10700,2016,with mileage,210000,diesel,1500,silver,mechanics,front-wheel drive,C
12665,volkswagen,golf,1800,1995,with mileage,88000,petrol,1600,black,mechanics,front-wheel drive,C
12674,lexus,ct,16400,2012,with mileage,170590.04,petrol,1800,silver,auto,front-wheel drive,C
12676,honda,civic,7000,2009,with mileage,230000,petrol,1300,black,auto,front-wheel drive,C
12680,mazda,626,295,1987,with mileage,333333,petrol,1800,silver,mechanics,front-wheel drive,C
12681,renault,megane,1500,2001,with mileage,315000,petrol,1598,silver,mechanics,front-wheel drive,C
12693,ford,escort,650,1997,with mileage,930000,petrol,1400,green,mechanics,front-wheel drive,C
12699,hyundai,lantra,1700,1997,with mileage,250000,petrol,1600,green,mechanics,front-wheel drive,C
12704,opel,astra,3200,2002,with mileage,350000,diesel,1700,silver,mechanics,front-wheel drive,C
12708,toyota,corolla,2500,1998,with mileage,210000,petrol,1300,red,mechanics,front-wheel drive,C
12713,toyota,corolla,951,1995,with mileage,260000,petrol,1300,gray,mechanics,front-wheel drive,C
12714,nissan,almera,7800,2018,with mileage,30000,petrol,1600,black,mechanics,front-wheel drive,C
12718,renault,megane,2450,1998,with mileage,226500,petrol,1400,other,mechanics,front-wheel drive,C
12721,toyota,auris,7200,2008,with mileage,204000,petrol,1600,gray,auto,front-wheel drive,C
12722,skoda,octavia,3699,2000,with mileage,236693,diesel,1900,green,mechanics,front-wheel drive,C
12723,toyota,corolla,5800,2006,with mileage,214000,petrol,1600,silver,auto,front-wheel drive,C
12724,ford,focus,2450,2000,with mileage,230000,petrol,2000,green,auto,front-wheel drive,C
12725,chevrolet,lacetti,5650,2012,with mileage,66500,petrol,1600,other,mechanics,front-wheel drive,C
12740,daewoo,nubira,500,1998,with mileage,250000,petrol,1600,white,mechanics,front-wheel drive,C
12742,ford,escort,1100,1996,with mileage,40000,diesel,1800,blue,mechanics,front-wheel drive,C
12746,renault,megane,9500,2015,with mileage,136000,diesel,1500,blue,mechanics,front-wheel drive,C
12748,toyota,auris,13750,2017,with mileage,75672,diesel,1398,white,mechanics,front-wheel drive,C
12756,renault,megane,9350,2016,with mileage,185000,diesel,1500,silver,mechanics,front-wheel drive,C
12757,volkswagen,golf,4000,2000,with mileage,230000,petrol,1600,silver,mechanics,front-wheel drive,C
12762,volkswagen,golf,290,1986,for parts,200000,petrol,1300,blue,mechanics,front-wheel drive,C
12772,ford,focus,2000,1999,with mileage,232500,petrol,2000,silver,auto,,C
12779,volkswagen,golf,1200,1993,with mileage,300000,diesel,1900,red,mechanics,front-wheel drive,C
12786,mazda,3,3500,2003,with mileage,270000,petrol,2000,silver,mechanics,front-wheel drive,C
12787,volkswagen,jetta,7850,2010,with mileage,195000,diesel,1900,black,auto,front-wheel drive,C
12797,volkswagen,bora,3300,2000,with mileage,159000,petrol,1600,white,auto,front-wheel drive,C
12802,fiat,bravo,1100,1997,with mileage,224000,petrol,1600,blue,mechanics,front-wheel drive,C
12809,skoda,octavia,13300,2015,with mileage,179000,diesel,1600,gray,mechanics,front-wheel drive,C
12813,peugeot,308,5500,2008,with mileage,122200,petrol,1600,silver,auto,front-wheel drive,C
12818,citroen,xsara,1600,1999,with mileage,1111111,petrol,1400,green,mechanics,front-wheel drive,C
12836,peugeot,308,5900,2010,with mileage,140000,petrol,1600,black,auto,front-wheel drive,C
12841,volkswagen,golf,1600,1993,with mileage,60000,petrol,1600,black,mechanics,front-wheel drive,C
12843,renault,megane,900,1996,with mileage,245000,petrol,1600,red,mechanics,front-wheel drive,C
12847,peugeot,307,3650,2004,with mileage,300000,diesel,1400,white,mechanics,front-wheel drive,C
12848,audi,a3,3300,1997,with mileage,350000,petrol,1800,black,mechanics,front-wheel drive,C
12873,opel,astra,2090,1999,with mileage,398,diesel,1700,white,mechanics,front-wheel drive,C
12874,opel,astra,1200,1997,with mileage,1,petrol,1600,green,mechanics,front-wheel drive,C
12879,toyota,corolla,4400,2002,with mileage,290000,diesel,2000,red,mechanics,front-wheel drive,C
12881,renault,19,200,1988,for parts,300000,petrol,1400,green,mechanics,front-wheel drive,C
12882,mazda,3,12000,2014,with mileage,100000,petrol,1600,blue,auto,front-wheel drive,C
12889,mitsubishi,lancer,2990,2005,with mileage,236000,petrol,1300,silver,mechanics,front-wheel drive,C
12890,volkswagen,golf,2250,1993,with mileage,203000,petrol,1600,silver,mechanics,front-wheel drive,C
12895,ford,focus,3700,2004,with mileage,360000,diesel,1800,red,mechanics,front-wheel drive,C
12900,renault,megane,4799,2008,with mileage,198000,diesel,1461,black,mechanics,front-wheel drive,C
12917,hyundai,i30,8300,2012,with mileage,149530,petrol,1600,white,mechanics,front-wheel drive,C
12918,audi,a3,8200,2011,with mileage,174570,petrol,1200,white,auto,front-wheel drive,C
12920,opel,astra,1500,1995,with mileage,165000,petrol,1600,silver,auto,front-wheel drive,C
12926,peugeot,306,1900,1997,with mileage,280000,petrol,1400,blue,mechanics,front-wheel drive,C
12930,opel,astra,11290,2016,with mileage,145000,diesel,1600,purple,mechanics,front-wheel drive,C
12939,renault,megane,1500,1998,with mileage,300000,diesel,1900,silver,mechanics,front-wheel drive,C
12947,volkswagen,golf,3500,1994,with mileage,278000,diesel,1900,green,mechanics,front-wheel drive,C
12948,ford,focus,4900,2007,with mileage,125000,petrol,1600,blue,mechanics,front-wheel drive,C
12949,honda,civic,7000,2008,with mileage,181000,petrol,1800,black,mechanics,front-wheel drive,C
12952,mitsubishi,lancer,9500,2012,with mileage,158,petrol,1600,black,auto,front-wheel drive,C
12966,peugeot,3008,9000,2010,with mileage,148000,diesel,1600,other,auto,front-wheel drive,C
12967,volkswagen,golf,1650,1997,with mileage,234000,petrol,1800,white,mechanics,front-wheel drive,C
12974,audi,a3,5750,2002,with mileage,313000,diesel,1900,blue,mechanics,front-wheel drive,C
12975,volkswagen,golf,1100,1991,with mileage,400000,diesel,1600,red,mechanics,front-wheel drive,C
12976,renault,megane,1000,1998,with mileage,330000,petrol,1600,gray,mechanics,,C
12977,hyundai,elantra,9400,2012,with mileage,108000,petrol,1600,brown,mechanics,,C
12978,peugeot,5008,14900,2015,with mileage,85000,diesel,1600,white,auto,front-wheel drive,C
12982,skoda,octavia,5000,2006,with mileage,270,petrol,1600,gray,mechanics,front-wheel drive,C
12989,volkswagen,jetta,1300,1990,with mileage,435000,petrol,1800,other,mechanics,front-wheel drive,C
12992,toyota,corolla,13400,2015,with mileage,83400,petrol,1600,white,auto,front-wheel drive,C
12995,volkswagen,golf,800,1991,with mileage,30000,petrol,2000,blue,mechanics,front-wheel drive,C
12998,ford,focus,7200,2011,with mileage,96000,petrol,1600,gray,mechanics,front-wheel drive,C
13004,skoda,octavia,8700,2011,with mileage,110000,petrol,1600,black,mechanics,front-wheel drive,C
13005,peugeot,3008,11000,2012,with mileage,79000,diesel,1600,white,auto,front-wheel drive,C
13011,citroen,c4,5100,2007,with mileage,197000,petrol,1600,silver,mechanics,front-wheel drive,C
13016,peugeot,307,4300,2002,with mileage,426000,diesel,2000,silver,mechanics,front-wheel drive,C
13017,volkswagen,golf,6150,2007,with mileage,186000,petrol,1400,silver,mechanics,front-wheel drive,C
13019,citroen,c4-grand-picasso,14000,2015,with mileage,150000,diesel,16000,silver,mechanics,front-wheel drive,C
13038,mazda,3,4250,2007,with mileage,278000,petrol,1600,silver,mechanics,front-wheel drive,C
13040,ford,escort,1500,1999,with mileage,106000,petrol,2000,other,auto,front-wheel drive,C
13041,volkswagen,jetta,7100,2010,with mileage,120000,petrol,1600,silver,auto,front-wheel drive,C
13042,ford,focus,6200,2008,with mileage,160000,petrol,1800,other,mechanics,front-wheel drive,C
13048,renault,megane,3200,2005,with mileage,169000,petrol,1600,green,mechanics,front-wheel drive,C
13050,mazda,323,800,1993,with mileage,250000,petrol,1600,blue,mechanics,front-wheel drive,C
13057,honda,civic,5900,2009,with mileage,200000,petrol,1300,black,auto,front-wheel drive,C
13061,mazda,626,1750,1998,with mileage,500000,diesel,2000,silver,mechanics,front-wheel drive,C
13074,mazda,626,1000,1990,with mileage,250000,petrol,20000,blue,mechanics,front-wheel drive,C
13076,volkswagen,golf,750,1989,with mileage,400000,petrol,1800,red,mechanics,front-wheel drive,C
13077,renault,fluence,8700,2015,with mileage,112000,petrol,1600,black,auto,front-wheel drive,C
13078,skoda,rapid,10000,2016,with mileage,104000,petrol,1600,white,auto,front-wheel drive,C
13079,ford,escort,1300,1994,with mileage,300000,petrol,1400,blue,mechanics,front-wheel drive,C
13080,bmw,1-seriya,6800,2011,with mileage,180000,petrol,1600,red,auto,rear drive,C
13085,opel,astra,7100,2010,with mileage,172000,petrol,1400,gray,mechanics,front-wheel drive,C
13086,citroen,c4,30000,2013,with mileage,100000,petrol,1000,black,auto,front-wheel drive,C
13089,volkswagen,golf,4200,2001,with mileage,368000,diesel,1900,blue,auto,front-wheel drive,C
13093,mazda,3,6100,2008,with mileage,188000,petrol,1600,blue,auto,front-wheel drive,C
13094,citroen,xsara-picasso,3500,2000,with mileage,220000,petrol,1800,silver,mechanics,front-wheel drive,C
13103,mercedes-benz,cla,18699,2014,with mileage,119000,petrol,2000,gray,auto,front-wheel drive,C
13107,mazda,323f,1500,1999,with mileage,160000,petrol,1300,red,mechanics,,C
13112,opel,astra,10000,2014,with mileage,83000,petrol,1800,white,mechanics,front-wheel drive,C
13114,renault,megane,950,1996,with mileage,268000,petrol,1600,blue,mechanics,front-wheel drive,C
13119,ford,escort,380,1993,with mileage,360000,petrol,1600,green,mechanics,front-wheel drive,C
13121,mazda,626,150,1986,with damage,155555,petrol,2000,gray,mechanics,front-wheel drive,C
13123,citroen,xsara-picasso,3650,2003,with mileage,210000,diesel,2000,white,mechanics,front-wheel drive,C
13125,skoda,octavia,12000,2014,with mileage,120000,petrol,1400,silver,auto,front-wheel drive,C
13126,daewoo,nubira,1850,1999,with mileage,280000,petrol,1600,burgundy,mechanics,front-wheel drive,C
13127,peugeot,308,6350,2011,with mileage,135000,petrol,1600,black,auto,front-wheel drive,C
13130,volkswagen,golf,2400,1991,with mileage,189000,petrol,1600,green,auto,front-wheel drive,C
13141,volkswagen,golf,2300,1999,with mileage,250000,petrol,1400,red,mechanics,front-wheel drive,C
13155,renault,megane,600,1996,with mileage,220000,petrol,1400,blue,mechanics,front-wheel drive,C
13169,peugeot,307,3900,2002,with mileage,265363,petrol,1600,green,auto,front-wheel drive,C
13184,mitsubishi,lancer,6655,2008,with mileage,85000,petrol,1500,gray,mechanics,front-wheel drive,C
13192,subaru,impreza,3599,1999,with mileage,236000,petrol,2000,other,mechanics,all-wheel drive,C
13196,ford,focus,1600,2001,with mileage,321868,petrol,2000,red,mechanics,front-wheel drive,C
13198,nissan,micra,4200,2004,with mileage,188000,petrol,1400,blue,mechanics,front-wheel drive,C
13200,peugeot,306,1300,1997,with mileage,430000,petrol,1400,blue,mechanics,front-wheel drive,C
13201,peugeot,308,7200,2011,with mileage,114000,petrol,1600,white,auto,front-wheel drive,C
13204,volkswagen,golf,12999,2016,with mileage,136000,diesel,1600,black,mechanics,front-wheel drive,C
13210,ford,escort,1100,1991,with mileage,666,petrol,1400,red,mechanics,,C
13215,volkswagen,golf,2700,2000,with mileage,300000,petrol,1600,blue,mechanics,front-wheel drive,C
13224,skoda,octavia,23900,2018,with mileage,15000,petrol,1800,gray,auto,front-wheel drive,C
13226,opel,astra,7000,2008,with mileage,205000,diesel,1700,blue,mechanics,front-wheel drive,C
13230,opel,astra,2500,2000,with mileage,380000,diesel,2000,white,mechanics,front-wheel drive,C
13238,peugeot,307,4350,2005,with mileage,307500,diesel,1560,silver,mechanics,front-wheel drive,C
13239,volkswagen,golf,6000,2002,with mileage,222000,petrol,1600,black,mechanics,front-wheel drive,C
13243,volkswagen,jetta,13900,2017,with mileage,41000,petrol,1400,black,auto,front-wheel drive,C
13254,nissan,almera,2500,2000,with mileage,325000,diesel,2200,silver,mechanics,front-wheel drive,C
13255,ford,escort,700,1997,with mileage,398431,diesel,1800,white,mechanics,front-wheel drive,C
13267,skoda,rapid,15200,2018,with mileage,45000,petrol,1400,silver,auto,front-wheel drive,C
13268,seat,toledo,500,1993,with mileage,300,petrol,1600,gray,mechanics,front-wheel drive,C
13276,volkswagen,golf,3850,2001,with mileage,413000,diesel,1900,silver,mechanics,front-wheel drive,C
13283,peugeot,306,2139,1999,with mileage,1,diesel,1900,blue,mechanics,front-wheel drive,C
13284,volkswagen,bora,4600,2001,with mileage,410000,diesel,1900,green,mechanics,front-wheel drive,C
13286,volkswagen,jetta,4000,1991,with mileage,290000,diesel,1600,other,mechanics,front-wheel drive,C
13294,ford,escort,570,1994,with mileage,300000,petrol,1600,green,mechanics,front-wheel drive,C
13301,opel,astra,4600,2006,with mileage,262000,petrol,1600,blue,auto,front-wheel drive,C
13304,volvo,v40,3700,2000,with mileage,300000,diesel,1900,black,mechanics,front-wheel drive,C
13308,audi,a3,2900,1997,with mileage,360000,petrol,1600,black,mechanics,front-wheel drive,C
13316,renault,megane,650,1996,with mileage,290000,petrol,1600,silver,mechanics,front-wheel drive,C
13329,fiat,marea,1399,1999,with mileage,250000,diesel,1900,green,mechanics,front-wheel drive,C
13331,peugeot,307,4300,2004,with mileage,400000,diesel,2000,black,mechanics,front-wheel drive,C
13333,toyota,corolla,7100,2008,with mileage,161738.67,petrol,1800,silver,mechanics,front-wheel drive,C
13337,renault,megane,1100,1996,with mileage,287000,petrol,1600,burgundy,mechanics,front-wheel drive,C
13361,opel,astra,5250,2008,with mileage,270000,diesel,1300,silver,mechanics,front-wheel drive,C
13362,ford,focus,11499,2015,with mileage,82500,diesel,1499,brown,mechanics,front-wheel drive,C
13366,volvo,s40,2500,1997,with mileage,460210,diesel,1900,blue,mechanics,front-wheel drive,C
13380,skoda,octavia,4991,2008,with mileage,164000,petrol,1600,blue,mechanics,front-wheel drive,C
13388,mazda,626,750,1990,with mileage,400000,petrol,2000,black,mechanics,front-wheel drive,C
13390,volkswagen,golf,4800,2000,with mileage,330000,diesel,1900,silver,mechanics,front-wheel drive,C
13391,citroen,xsara-picasso,3350,2000,with mileage,330000,petrol,1800,blue,mechanics,front-wheel drive,C
13397,nissan,micra,3500,2003,with mileage,217000,petrol,1200,black,auto,front-wheel drive,C
13399,mazda,323,1236,1996,with mileage,316,diesel,1700,red,mechanics,front-wheel drive,C
13419,volkswagen,golf,1250,1993,with mileage,295,petrol,1400,blue,mechanics,front-wheel drive,C
